B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
199,199,1.63,798,192.4,25.4,1163
148,148,4.38,444,262,25.4,1153
148,148,4.38,444,262,25.4,1153
215,215,4.38,645,262,25.4,1777
215,215,4.38,645,262,25.4,1777
323,323,4.38,969,262,25.4,3367
323,323,4.38,969,262,25.4,3367
144,144,6.36,432,618,25.4,2572
144,144,6.36,432,618,25.4,2572
120,120,6.36,360,618,25.4,2819
211,211,6.36,633,618,25.4,3920
211,211,6.36,633,618,25.4,3920
319,319,6.36,957,618,25.4,6320
319,319,6.36,957,618,25.4,6320
120,120,6.47,360,835,25.4,2819
175,175,6.47,525,835,25.4,4210
175,175,6.47,525,835,25.4,4210
265,265,6.47,795,835,25.4,6546
265,265,6.47,795,835,25.4,6546
99.8,99.8,4.8,302,289,25.52,780
199,199,1.68,796,192.4,25.6,1110
198,198,1.66,794,192.4,25.6,1310
199,199,1.69,797,246.7,25.7,1160
198,198,1.72,797,246.7,25.7,1210
100.2,100.2,2.18,300,300,25.7,411
100.2,100.2,2.18,300,300,25.7,609
148,148,1.57,598,246.7,25.8,660
199,199,1.66,796,246.7,25.8,1065
199,199,2.91,793,256.4,25.8,1546
149,149,1.64,595,246.7,25.9,710
200,200,3.93,794,256.4,25.9,1509
200,200,2.93,792,256.4,25.9,1560
126.9,126.9,4.34,635,357,26,1095
76.5,152.8,4.47,635,383,26,1006
101.8,152.4,4.32,635,413,26,1144
120,120,3.84,360,330.1,26.4,1080
300.5,300.5,6.1,902,395,26.5,2766
300.5,300.5,6.1,902,395,26.5,5102
60,120,2.93,600,293.5,27.44,570
90,120,2.93,600,293.5,27.44,825
120,120,2.93,600,293.5,27.44,1054
199,199,1.91,792,246.7,27.6,1360
199,199,1.62,798,246.7,27.6,1360
199,199,1.86,797,246.7,27.6,1417
201,201,2.92,796,256.4,27.6,1760
198,198,2.92,797,256.4,27.6,1760
200,200,2.93,793,256.4,27.6,1764
199,199,1.5,798,192.4,27.7,1362
199,199,1.8,796,192.4,27.7,1403
197,197,1.55,797,192.4,27.7,1413
100,100,4.2,302,333,27.76,680
100.1,100.1,4.2,301,333,27.76,700
120,120,5.86,360,321.1,28.2,1372
120,120,5.86,360,321.1,28.2,1460.2
120,120,3.84,360,330.1,28.2,1078
200,200,5,600,227,28.8,2530
300,300,5,900,227,28.8,4603
120,120,2.65,360,340,28.8,812
120,120,2.65,360,340,28.8,816
140,140,5.86,420,321.1,29.3,1906.1
140,140,5.86,420,321.1,29.3,2009
140,140,3.84,420,330.1,29.3,1470
140,140,3.84,420,330.1,29.3,1499.4
200.3,200.3,4.35,601,323,29.6,1613
200.3,200.3,4.35,601,323,29.6,2230
127.3,127.3,3.15,635,356,30.5,917
76.6,152.3,3,635,430,30.5,819
120,120,8,500,379,31,1680
180,180,6.6,540,824,31.1,5030
149,149,3.59,448,283.6,31.7,1370
149.4,149.4,3.64,448,283.6,31.7,1399
149.1,149.1,3.69,448,283.6,31.7,1409
148.6,148.6,3.67,448,283.6,31.7,1433
149.3,149.3,3.63,448,283.6,31.7,1771
149.3,149.3,3.63,448,283.6,31.7,1785
150,150,4.5,1200,438.36,31.87,1585.74
150,150,4.5,600,438.36,31.87,1597.5
149.8,149.8,4.27,600,412,31.9,1598
100,100,2.29,300,194.2,32,497.4
100,100,2.29,300,194.2,32,498
186,186,3,300,300,32,1200
186,186,3,540,300,32,1555
186,186,3,540,300,32,1555
114.86,114.86,4.39,406.4,254.07,32.13,896.76
114.3,114.3,9.63,406.4,254.07,32.13,2442.07
100,100,4,400,239.8,32.4,882
100,100,4,400,239.8,32.4,901.6
100,100,4,400,239.8,32.4,921.2
100,100,4,400,239.8,32.4,960.4
100,100,4,400,239.8,32.4,970
