B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
140,140,3.84,420,330.1,8.52,940.8
140,140,5.86,420,321.1,8.7,1342.6
140,140,3.84,420,330.1,8.97,921.6
200,200,5.86,600,321.1,9.41,1960
200,200,5.86,600,321.1,9.41,2058
140,140,5.86,420,321.1,9.78,1292.6
300,300,6,1050,414,10,3428
400,400,6,1400,414,10,4452
120,120,2.65,360,340,12.2,635
120,120,5.86,360,321.1,13.8,1195.6
120,120,3.84,360,330.1,14.6,882
120,120,2.65,360,340,16.08,640
120,120,2.65,360,340,16.08,664
120,120,5.86,360,321.1,16.1,1117.2
120,120,5.86,360,321.1,16.1,1176
120,120,3.84,360,330.1,16.7,882
120,120,3.84,360,330.1,16.7,921.2
90,135,2.65,540,340.1,17.6,552
90,135,2.65,540,340.1,17.6,570
90,135,2.65,540,340.1,17.6,580
90,135,2.65,540,340.1,17.6,592
130,130,2.65,780,340.1,17.6,690
130,130,2.65,780,340.1,17.6,739
130,130,2.65,780,340.1,17.6,760
130,130,2.65,780,340.1,17.6,770
130,195,2.65,780,340.1,17.6,880
130,195,2.65,780,340.1,17.6,900
130,195,2.65,780,340.1,17.6,960
120,240,2.65,720,340.1,17.6,968
130,195,2.65,780,340.1,17.6,980
120,240,2.65,720,340.1,17.6,1032
120,240,2.65,720,340.1,17.6,1140
240,360,2.65,1440,340.1,17.6,1600
240,360,2.65,1440,340.1,17.6,1610
240,360,2.65,1440,340.1,17.6,2250
240,360,2.65,1440,340.1,17.6,2300
199.5,199.5,10.1,600,381.68,19.58,3900
200.5,200.5,6.3,600,437.88,19.58,2830
100,100,4.25,300,284.5,19.8,666
100,100,4.25,300,284.5,19.8,667
120,120,5,430,761,20.34,1835
170,170,5,580,761,20.34,2831
220,220,5,730,761,20.34,3609
270,270,5,880,761,20.34,3950
250,250,2.5,750,338,20.4,1993
250,250,2.5,750,338,20.4,2020
100,100,2.99,300,288.4,20.6,528
100,100,2.99,300,288.4,20.6,529
201,201,10,600,381.68,20.65,3920
198.5,198.5,6.1,600,437.88,20.65,3010
70,70,5,210,701,21,1367
100,100,5,300,701,21,1934
125,125,5,375,701,21,2348
150,150,5,450,701,21,2828
201,201,10.3,600,381.68,21.26,3980
197,197,6.4,600,437.88,21.26,2730
100,100,2.2,300,339.4,21.4,510
100,100,2.2,300,339.4,21.4,511
120,120,2.65,360,340,21.9,778
150,150,0.7,480,245.17,22.56,558
150,150,0.7,800,245.17,22.56,611.93
150,200,0.7,800,245.17,22.56,705.1
150,150,1.4,800,245.17,22.56,711.96
150,150,2.1,800,245.17,22.56,793.36
150,200,0.7,480,245.17,22.56,795.32
150,200,2.1,800,245.17,22.56,844.35
150,200,1.4,800,245.17,22.56,881.62
125.3,126.5,5.67,635,312,23.8,1202
126.9,127,4.55,635,322,23.8,1113
101.3,151.4,5.72,635,324,23.8,1335
126.8,127.2,7.47,635,347,23.8,2069
102.1,151.4,7.34,635,358,23.8,1691
102.8,152.7,4.57,635,365,23.8,1224
200,200,5,600,227,24,2061
300,300,5,900,227,24,3621
99.9,99.9,4.9,301,289,24.64,800
100.7,100.7,9.6,301,400,24.64,1550
